all amounts in "million INR"  FY 22 (actuals)  FY 23 (actuals)  FY 24 (actuals)  FY 25 (actuals)  FY 26  FY 27    Q1 / FY 21- 22  Q2 / FY 21- 22  Q3 / FY 21- 22  Q4 / FY 21- 22  Q1 / FY 22-23  Q2 / FY 22-23  Q3 / FY 22-23  Q4 / FY 22-23  Q1 / FY 23-24  Q2 / FY 23-24  Q3 / FY 23-24  Q4 / FY 23-24  Q1 / FY 24-25  Q2 / FY 24-25  Q3 / FY 24-25  Q4 / FY 24-25

Active Cultures (#)  2  2  2  3  3  3    2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3

Magahi      0.00  0.00  0.00  0.00   0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
Bundeli     0.00  0.00  0.00  0.00   0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00

Payment Gateway Cost (Total)  0.46  0.38  11.04  16.31  12.05  24.82    0.06  0.08  0.20  0.13  0.02  0.02  0.05  0.29  0.63  1.63  3.60  5.18  5.93  2.25  4.05  4.08

Haryanvi    0.46  0.32  8.65  9.69  5.40  10.21    0.06  0.08  0.20  0.13  0.02  0.02  0.04  0.24  0.54  1.41  2.92  3.79  4.08  1.38  2.52  1.71
Rajasthani  0.00  0.05  2.39  5.70  4.13  9.76     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.05  0.09  0.23  0.68  1.39  1.86  0.87  1.53  1.45
Bhojpuri    0.00  0.00  0.00  0.93  2.52  4.85     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.93
Awadhi      0.00  0.00  0.00  0.00  0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
Maithili    0.00  0.00  0.00  0.00  0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
Magahi      0.00  0.00  0.00  0.00  0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
Bundeli     0.00  0.00  0.00  0.00  0.00  0.00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00

Operations Cost (Total)  11.47  19.72  44.87  127.76  115.72  154.60    0.86  1.20  7.37  2.04  2.77  3.15  5.30  8.50  8.61  4.93  13.97  17.36  13.66  18.65  24.86  70.59

Haryanvi                   11.47   15.47   25.97   51.77    38.57    51.53      0.86   1.20   7.37   2.04   2.77   3.15   5.30   4.25    5.58   2.47   8.62    9.30    7.07    8.74    12.43   23.53
Rajasthani                 0.00    4.25    18.90   52.46    38.57    51.53      0.00   0.00   0.00   0.00   0.00   0.00   0.00   4.25    3.03   2.46   5.35    8.06    6.59    9.91    12.43   23.53
Bhojpuri                   0.00    0.00    0.00    23.53    38.57    51.53      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00    0.00    0.00    0.00    0.00    23.53
Awadhi                     0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00    0.00    0.00    0.00    0.00    0.00
Maithili                   0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00    0.00    0.00    0.00    0.00    0.00
Magahi                     0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00    0.00    0.00    0.00    0.00    0.00
Bundeli                    0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00    0.00    0.00    0.00    0.00    0.00
Central Team Cost (Total)  17.83   32.86   37.30   81.17    179.06   260.72     4.11   4.35   4.47   4.90   5.82   6.77   8.82   11.46   10.48  8.97   8.82    9.03    10.44   15.19   18.74   36.81
Total Cost                 118.58  231.49  440.78  1600.55  1936.50  3724.42    13.05  19.41  41.99  44.13  31.21  40.22  56.29  103.78  67.38  69.80  139.70  163.91  284.16  394.55  609.75  312.08

Haryanvi           100.75  159.58  274.92  844.47  563.68  872.15     8.94  15.06  37.52  39.23  20.80  27.40  41.96  69.41  41.21  44.09  89.08  100.54  156.65  209.90  346.61  131.30
Rajasthani         0.00    39.05   128.56  615.50  472.53  870.47     0.00  0.00   0.00   0.00   4.58   6.05   5.51   22.90  15.68  16.74  41.80  54.34   117.07  169.46  244.40  84.57
Bhojpuri           0.00    0.00    0.00    59.41   721.24  1721.09    0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00    59.41
Awadhi             0.00    0.00    0.00    0.00    0.00    0.00       0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00    0.00
Maithili           0.00    0.00    0.00    0.00    0.00    0.00       0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00    0.00
Magahi             0.00    0.00    0.00    0.00    0.00    0.00       0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00    0.00
Bundeli            0.00    0.00    0.00    0.00    0.00    0.00       0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00    0.00
Central Team Cost  17.83   32.86   37.30   81.17   179.06  260.72     4.11  4.35   4.47   4.90   5.82   6.77   8.82   11.46  10.48  8.97   8.82   9.03    10.44   15.19   18.74   36.81


Revenue
Revenue (new subscribers)  22.76  65.65  161.59  618.45  655.41  1958.50    2.69  1.70  7.16  11.21  4.81  8.08  16.45  36.31  14.68  21.20  51.96  73.75  163.04  211.21  179.32  64.88

Haryanvi    22.76  57.16  123.38  389.05  176.17  435.68     2.69  1.70  7.16  11.21  4.59  7.68  15.17  29.72  12.24  18.08  41.41  51.65  105.39  129.83  114.99  38.84
Rajasthani  0.00   8.49   38.22   228.12  141.06  442.93     0.00  0.00  0.00  0.00   0.21  0.40  1.28   6.59   2.45   3.13   10.55  22.09  57.65   81.38   64.33   24.76
Bhojpuri    0.00   0.00   0.00    1.28    338.19  1079.89    0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    1.28
Awadhi      0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Maithili    0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Magahi      0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Bundeli     0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00

Revenue (renewals)  1.11  10.83  70.47  807.25  839.08  1053.83    0.01  0.09  0.42  0.58  1.23  1.59  2.38  5.64  4.00  11.11  17.20  38.16  78.71  165.79  264.06  298.68

Haryanvi    1.11  10.66  57.87  523.32  459.34  298.78    0.01  0.09  0.42  0.58  1.22  1.58  2.35  5.50  3.71  9.71  14.61  29.85  56.43  109.66  168.09  189.15
Rajasthani  0.00  0.17   12.60  283.61  278.25  243.37    0.00  0.00  0.00  0.00  0.00  0.01  0.03  0.14  0.29  1.40  2.59   8.31   22.29  56.13   95.98   109.22
Bhojpuri    0.00  0.00   0.00   0.31    101.49  511.68    0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00   0.00   0.00    0.00    0.31
Awadhi      0.00  0.00   0.00   0.00    0.00    0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00   0.00   0.00    0.00    0.00
Maithili    0.00  0.00   0.00   0.00    0.00    0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00   0.00   0.00    0.00    0.00
Magahi      0.00  0.00   0.00   0.00    0.00    0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00   0.00   0.00    0.00    0.00
Bundeli     0.00  0.00   0.00   0.00    0.00    0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00   0.00   0.00    0.00    0.00

Revenue (partnerships)  0.00   0.61   3.60    11.33    15.60    20.38      0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.61   0.46   0.47   0.93   1.74    2.38    2.35    2.58    4.02
Total Revenue           23.87  77.09  235.66  1437.02  1510.09  3032.71    2.70  1.79  7.58  11.79  6.03  9.67  18.83  42.56  19.14  32.78  70.09  113.65  244.13  379.34  445.96  367.58

Haryanvi      23.87  67.82  181.25  912.38  635.51  734.47     2.70  1.79  7.58  11.79  5.82  9.26  17.52  35.22  15.94  27.78  56.02  81.50  161.82  239.49  283.08  228.00
Rajasthani    0.00   8.66   50.81   511.73  419.30  686.30     0.00  0.00  0.00  0.00   0.22  0.41  1.31   6.73   2.73   4.53   13.14  30.41  79.94   137.51  160.30  133.98
Bhojpuri      0.00   0.00   0.00    1.59    439.68  1591.57    0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    1.59
Awadhi        0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Maithili      0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Magahi        0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Bundeli       0.00   0.00   0.00    0.00    0.00    0.00       0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Partnerships  0.00   0.61   3.60    11.33   15.60   20.38      0.00  0.00  0.00  0.00   0.00  0.00  0.00   0.61   0.46   0.47   0.93   1.74   2.38    2.35    2.58    4.02

P&L

Haryanvi                -76.88  -91.76  -93.67  67.91    71.83    -137.68    -6.24  -13.27  -29.94  -27.44  -14.99  -18.14  -24.44  -34.19  -25.27  -16.31  -33.06  -19.03  5.17    29.58   -63.54  96.70
Rajasthani              0.00    -30.39  -77.75  -103.78  -53.22   -184.17    0.00   0.00    0.00    0.00    -4.37   -5.64   -4.20   -16.17  -12.95  -12.21  -28.66  -23.94  -37.14  -31.95  -84.09  49.41
Bhojpuri                0.00    0.00    0.00    -57.82   -281.56  -129.52    0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    -57.82
Awadhi                  0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Maithili                0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Magahi                  0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Bundeli                 0.00    0.00    0.00    0.00     0.00     0.00       0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Central Corporate Cost  -17.83  -32.86  -37.30  -81.17   -179.06  -260.72    -4.11  -4.35   -4.47   -4.90   -5.82   -6.77   -8.82   -11.46  -10.48  -8.97   -8.82   -9.03   -10.44  -15.19  -18.74  -36.81
Revenue (partnerships)  0.00    0.61    3.60    11.33    15.60    20.38      0.00   0.00    0.00    0.00    0.00    0.00    0.00    0.61    0.46    0.47    0.93    1.74    2.38    2.35    2.58    4.02

Total  -94.71  -154.41  -205.12  -163.53  -426.40  -691.71  0  -10.35  -17.61  -34.41  -32.34  -25.18  -30.55  -37.46  -61.22  -48.24  -37.01  -69.61  -50.26  -40.03  -15.21  -163.79  55.50
