Overall  April/23  May/23  June/23  July/23  August/23  September/23  October/23  November/23  December/23  January/24  February/24  March/24  April/24  May/24  June/24  July/24  August/24  September/24  October/24  November/24  December/24  January/25  February/25  March/25  April/25  May/25  June/25  July/25  August/25  September/25  October/25  November/25  December/25  January/26
Payment Gateway Cost (INR Lakhs)      1.68    1.80   2.85   5.63   5.31   5.40   5.43   11.79   18.74   14.85   18.97   17.95   22.22   30.11   7.51     10.52    10.52    9.17     15.94    9.79     14.79    4.23     8.82     27.77   3.35    4.75    17.03   13.34    19.48    32.68    26.46    34.71    44.13   8.15
Gross Profit                          -8.64   27.78  25.51  92.01  73.95  75.32  89.64  119.79  288.34  207.50  318.59  419.86  468.14  742.18  1065.17  1147.01  1182.69  1247.33  1403.97  1365.33  1407.30  1221.61  1027.54  966.11  928.77  950.37  896.73  1030.24  1058.68  1162.99  1131.90  1203.96  983.52  921.40
Gross Margin                          -17.4%  49.0%  25.0%  72.1%  71.8%  73.3%  63.1%  60.9%   78.9%   73.3%   86.0%   84.4%   91.2%   91.6%   95.2%    94.0%    93.6%    95.9%    93.6%    95.8%    92.8%    85.2%    92.1%    86.4%   87.8%   90.5%   87.4%   86.2%    86.3%    85.2%    79.7%    84.2%    75.9%   67.6%

Operations Cost (INR Lakhs)    7.80    60.30   18.00  17.90  16.80  14.60  57.20  31.20  51.30   28.30   57.60   87.70   26.50   38.30   71.72   48.24    73.69    64.56    97.21    84.86    66.49    179.75   136.36  389.81  44.16   77.57   94.56   104.79  93.26   74.23   108.67  77.13    164.46  165.99
Culture Team Cost (INR Lakhs)  9.55    9.47    10.41  10.14  8.27   7.69   7.77   11.42  10.74   13.16   13.29   14.06   12.66   12.27   12.59   15.64    15.21    15.85    16.83    19.43    23.08    24.00    26.35   33.08   36.90   37.77   36.88   36.21   38.12   43.50   44.86   44.46    42.71   43.42
Contribution Profit            -25.99  -41.99  -2.89  63.98  48.88  53.03  24.67  77.18  226.31  166.03  247.70  318.10  428.98  691.62  980.86  1083.13  1093.79  1166.93  1289.93  1261.04  1317.73  1017.87  864.82  543.22  847.70  835.03  765.29  804.20  836.02  965.70  844.98  1082.37  776.35  776.35
Contribution Margin            -52%    -74%    -3%    50%    47%    52%    17%    39%    62%     59%     67%     64%     84%     85%     88%     89%      87%      90%      86%      88%      87%      71%      78%     49%     80%     80%     75%     67%     68%     71%     59%     76%      60%     57%

Central Team Cost (INR Lakhs)           35.40    35.90    33.50    34.80    28.20    26.70   27.70    30.70    29.80    31.70    32.00    32.50   34.40    39.70    37.01    48.87    49.59    49.59    56.31    62.06    69.03    164.89   95.74   107.42  121.10  120.01   119.12   121.25   129.39   123.06   178.24   124.64   140.20   140.20
Marketing Cost (INR Lakhs)              65.00    62.30    162.40   188.00   137.58   115.19  183.31   327.10   422.60   324.42   462.40   343.24  539.33   824.19   1031.59  1168.99  1095.97  1095.47  1672.33  1563.52  2099.99  975.70   151.50  383.41  704.03  909.63   1150.41  798.95   1099.45  1518.96  1267.47  1060.67  1369.61  1320.30
Performance marketing cost (INR Lakhs)  58.50    54.80    134.40   169.30   115.58   100.39  101.31   276.10   267.83   305.28   394.47   320.28  512.99   759.47   887.17   1085.88  1014.74  969.56   1570.35  1454.36  2044.90  930.20   85.47   52.26   224.02  641.28   873.06   585.39   822.42   1247.81  997.93   795.90   1059.17  1041.75
Re-engagement Marketing(INR Lakhs)      0.00     0.00     0.00     0.00     0.00     0.00    0.00     0.00     0.00     0.00     0.00     0.00    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    0.00    116.99  171.35   184.96   150.93   241.76   246.05   258.95   264.77   310.32   278.55
